"id","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality"
1,"AFG","Asia","Afghanistan","2021-07-09","131586","1473","1624.286","5561","84","85.571","3380.211","37.839","41.725","142.852","2.158","2.198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38928341","54.422","18.6","2.581","1.337","1803.987","","597.029","9.59","","","37.746","0.5","64.83","0.511",""
2,"OWID_AFR","","Africa","2021-07-09","5869127","46528","39768","150483","881","864.857","4377.991","34.707","29.664","112.251","0.657","0.645","","","","","","","","","","","","","","","","","","","55241176","38153695","17675678","283131","510068","4.12","2.85","1.32","380","","1340598113","","","","","","","","","","","","","","",""
3,"ALB","Europe","Albania","2021-07-09","132580","15","7.714","2456","0","0","46069.915","5.212","2.681","853.43","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2877800","104.871","38","13.188","8.643","11803.431","1.1","304.195","10.08","7.1","51.2","","2.89","78.57","0.795",""
4,"DZA","Africa","Algeria","2021-07-09","144483","831","561.857","3811","13","10.857","3294.859","18.951","12.813","86.908","0.296","0.248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43851043","17.348","29.1","6.211","3.857","13913.839","0.5","278.364","6.73","0.7","30.4","83.741","1.9","76.88","0.748",""
5,"AND","Europe","Andorra","2021-07-09","14075","25","22.429","127","0","0","182165.275","323.562","290.281","1643.694","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77265","163.755","","","","","","109.135","7.97","29","37.8","","","83.73","0.868",""
6,"AGO","Africa","Angola","2021-07-09","39791","198","100.286","928","3","3.143","1210.694","6.024","3.051","28.236","0.091","0.096","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32866268","23.89","16.8","2.405","1.362","5819.495","","276.045","3.94","","","26.664","","61.15","0.581",""
7,"ATG","North America","Antigua and Barbuda","2021-07-09","1266","0","0.286","42","0","0","12927.865","0","2.918","428.887","0","0","","","","","","","","","","","16700","170.533","","","","","","tests performed","","","","","","","","","","","97928","231.845","32.1","6.933","4.631","21490.943","","191.511","13.17","","","","3.8","77.02","0.778",""
8,"ARG","South America","Argentina","2021-07-09","4627537","14518","16442.571","98148","244","395.143","102388.703","321.225","363.808","2171.619","5.399","8.743","","","","","","","","","","","","","","","","","","","24048381","19162483","4885898","326276","391194","53.21","42.4","10.81","8656","","45195777","16.177","31.9","11.198","7.441","18933.907","0.6","191.032","5.5","16.2","27.7","","5","76.67","0.845",""
9,"ARM","Asia","Armenia","2021-07-09","226135","148","113.714","4540","4","3.143","76313.582","49.945","38.375","1532.11","1.35","1.061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2963234","102.931","35.7","11.232","7.571","8787.58","1.8","341.01","7.11","1.5","52.1","94.043","4.2","75.09","0.776",""
10,"ABW","North America","Aruba","2021-07-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130670","69031","61639","549","384","122.39","64.66","57.73","3597","","106766","584.8","41.2","13.085","7.452","35973.781","","","11.62","","","","","76.29","",""
